filename,original,rotated_left,rotated_right,upside_down,negative,red_tint
airplane_1_original_0.jpg,1,0,0,0,0,0
airplane_1_rotated_left_0.jpg,0,1,0,0,0,0
airplane_1_rotated_right_0.jpg,0,0,1,0,0,0
airplane_1_upside_down_0.jpg,0,0,0,1,0,0
airplane_1_negative_0.jpg,0,0,0,0,1,0
airplane_1_red_tint_0.jpg,0,0,0,0,0,1
airplane_10_original_1.jpg,1,0,0,0,0,0
airplane_10_rotated_left_1.jpg,0,1,0,0,0,0
airplane_10_rotated_right_1.jpg,0,0,1,0,0,0
airplane_10_upside_down_1.jpg,0,0,0,1,0,0
airplane_10_negative_1.jpg,0,0,0,0,1,0
airplane_10_red_tint_1.jpg,0,0,0,0,0,1
airplane_10_negative_rotated_left_1.jpg,0,1,0,0,1,0
airplane_10_red_tint_rotated_left_1.jpg,0,1,0,0,0,1
airplane_11_original_2.jpg,1,0,0,0,0,0
airplane_11_rotated_left_2.jpg,0,1,0,0,0,0
airplane_11_rotated_right_2.jpg,0,0,1,0,0,0
airplane_11_upside_down_2.jpg,0,0,0,1,0,0
airplane_11_negative_2.jpg,0,0,0,0,1,0
airplane_11_red_tint_2.jpg,0,0,0,0,0,1
airplane_11_negative_rotated_right_2.jpg,0,0,1,0,1,0
airplane_11_red_tint_rotated_right_2.jpg,0,0,1,0,0,1
airplane_12_original_3.jpg,1,0,0,0,0,0
airplane_12_rotated_left_3.jpg,0,1,0,0,0,0
airplane_12_rotated_right_3.jpg,0,0,1,0,0,0
airplane_12_upside_down_3.jpg,0,0,0,1,0,0
airplane_12_negative_3.jpg,0,0,0,0,1,0
airplane_12_red_tint_3.jpg,0,0,0,0,0,1
airplane_12_negative_upside_down_3.jpg,0,0,0,1,1,0
airplane_12_red_tint_upside_down_3.jpg,0,0,0,1,0,1
airplane_13_original_4.jpg,1,0,0,0,0,0
airplane_13_rotated_left_4.jpg,0,1,0,0,0,0
airplane_13_rotated_right_4.jpg,0,0,1,0,0,0
airplane_13_upside_down_4.jpg,0,0,0,1,0,0
airplane_13_negative_4.jpg,0,0,0,0,1,0
airplane_13_red_tint_4.jpg,0,0,0,0,0,1
airplane_14_original_5.jpg,1,0,0,0,0,0
airplane_14_rotated_left_5.jpg,0,1,0,0,0,0
airplane_14_rotated_right_5.jpg,0,0,1,0,0,0
airplane_14_upside_down_5.jpg,0,0,0,1,0,0
airplane_14_negative_5.jpg,0,0,0,0,1,0
airplane_14_red_tint_5.jpg,0,0,0,0,0,1
airplane_14_negative_rotated_left_5.jpg,0,1,0,0,1,0
airplane_14_red_tint_rotated_left_5.jpg,0,1,0,0,0,1
airplane_15_original_6.jpg,1,0,0,0,0,0
airplane_15_rotated_left_6.jpg,0,1,0,0,0,0
airplane_15_rotated_right_6.jpg,0,0,1,0,0,0
airplane_15_upside_down_6.jpg,0,0,0,1,0,0
airplane_15_negative_6.jpg,0,0,0,0,1,0
airplane_15_red_tint_6.jpg,0,0,0,0,0,1
airplane_15_negative_rotated_right_6.jpg,0,0,1,0,1,0
airplane_15_red_tint_rotated_right_6.jpg,0,0,1,0,0,1
airplane_16_original_7.jpg,1,0,0,0,0,0
airplane_16_rotated_left_7.jpg,0,1,0,0,0,0
airplane_16_rotated_right_7.jpg,0,0,1,0,0,0
airplane_16_upside_down_7.jpg,0,0,0,1,0,0
airplane_16_negative_7.jpg,0,0,0,0,1,0
airplane_16_red_tint_7.jpg,0,0,0,0,0,1
airplane_16_negative_upside_down_7.jpg,0,0,0,1,1,0
airplane_16_red_tint_upside_down_7.jpg,0,0,0,1,0,1
airplane_17_original_8.jpg,1,0,0,0,0,0
airplane_17_rotated_left_8.jpg,0,1,0,0,0,0
airplane_17_rotated_right_8.jpg,0,0,1,0,0,0
airplane_17_upside_down_8.jpg,0,0,0,1,0,0
airplane_17_negative_8.jpg,0,0,0,0,1,0
airplane_17_red_tint_8.jpg,0,0,0,0,0,1
airplane_18_original_9.jpg,1,0,0,0,0,0
airplane_18_rotated_left_9.jpg,0,1,0,0,0,0
airplane_18_rotated_right_9.jpg,0,0,1,0,0,0
airplane_18_upside_down_9.jpg,0,0,0,1,0,0
airplane_18_negative_9.jpg,0,0,0,0,1,0
airplane_18_red_tint_9.jpg,0,0,0,0,0,1
airplane_18_negative_rotated_left_9.jpg,0,1,0,0,1,0
airplane_18_red_tint_rotated_left_9.jpg,0,1,0,0,0,1
airplane_19_original_10.jpg,1,0,0,0,0,0
airplane_19_rotated_left_10.jpg,0,1,0,0,0,0
airplane_19_rotated_right_10.jpg,0,0,1,0,0,0
airplane_19_upside_down_10.jpg,0,0,0,1,0,0
airplane_19_negative_10.jpg,0,0,0,0,1,0
airplane_19_red_tint_10.jpg,0,0,0,0,0,1
airplane_19_negative_rotated_right_10.jpg,0,0,1,0,1,0
